Resonance_Code,Values_Orientation,Authenticity_Expression,Flourishing_Time_Horizon,Original_Three_Word_Name,New_Unique_Adjective
F(1-3)-R(1-3)-L(1),Formative,Relational,Long-Arc,Quiet Soft Patient,Pensive
F(1-3)-R(1-3)-L(4),Formative,Relational,Long-Arc,Quiet Soft Seasoned,Mellow
F(1-3)-R(1-3)-L(6),Formative,Relational,Long-Arc,Quiet Soft Enduring,Serene
F(1-3)-R(4-5)-L(1),Formative,Relational,Long-Arc,Quiet Warm Patient,Placid
F(1-3)-R(4-5)-L(4),Formative,Relational,Long-Arc,Quiet Warm Seasoned,Genial
F(1-3)-R(4-5)-L(6),Formative,Relational,Long-Arc,Quiet Warm Enduring,Tranquil
F(1-3)-R(6-9)-L(1),Formative,Relational,Long-Arc,Quiet Intimate Patient,Confidential
F(1-3)-R(6-9)-L(4),Formative,Relational,Long-Arc,Quiet Intimate Seasoned,Cherished
F(1-3)-R(6-9)-L(6),Formative,Relational,Long-Arc,Quiet Intimate Enduring,Sacrosanct
F(4-5)-R(1-3)-L(1),Formative,Relational,Long-Arc,Grounded Soft Patient,Steadfast
F(4-5)-R(1-3)-L(4),Formative,Relational,Long-Arc,Grounded Soft Seasoned,Rooted
F(4-5)-R(1-3)-L(6),Formative,Relational,Long-Arc,Grounded Soft Enduring,Unwavering
F(4-5)-R(4-5)-L(1),Formative,Relational,Long-Arc,Grounded Warm Patient,Nurturing
F(4-5)-R(4-5)-L(4),Formative,Relational,Long-Arc,Grounded Warm Seasoned,Balmy
F(4-5)-R(4-5)-L(6),Formative,Relational,Long-Arc,Grounded Warm Enduring,Unshakable
F(4-5)-R(6-9)-L(1),Formative,Relational,Long-Arc,Grounded Intimate Patient,Devoted
F(4-5)-R(6-9)-L(4),Formative,Relational,Long-Arc,Grounded Intimate Seasoned,Empathetic
F(4-5)-R(6-9)-L(6),Formative,Relational,Long-Arc,Grounded Intimate Enduring,Anchored
F(6-9)-R(1-3)-L(1),Formative,Relational,Long-Arc,Beacon Soft Patient,Luminous
F(6-9)-R(1-3)-L(4),Formative,Relational,Long-Arc,Beacon Soft Seasoned,Radiant
F(6-9)-R(1-3)-L(6),Formative,Relational,Long-Arc,Beacon Soft Enduring,Resplendent
F(6-9)-R(4-5)-L(1),Formative,Relational,Long-Arc,Beacon Warm Patient,Inspiring
F(6-9)-R(4-5)-L(4),Formative,Relational,Long-Arc,Beacon Warm Seasoned,Vibrant
F(6-9)-R(4-5)-L(6),Formative,Relational,Long-Arc,Beacon Warm Enduring,Effulgent
F(6-9)-R(6-9)-L(1),Formative,Relational,Long-Arc,Beacon Intimate Patient,Soulful
F(6-9)-R(6-9)-L(4),Formative,Relational,Long-Arc,Beacon Intimate Seasoned,Profound
F(6-9)-R(6-9)-L(6),Formative,Relational,Long-Arc,Beacon Intimate Enduring,Transcendent
F(1-3)-R(1-3)-C(1),Formative,Relational,Catalytic,Quiet Soft Quick,Nimble
F(1-3)-R(1-3)-C(4),Formative,Relational,Catalytic,Quiet Soft Kinetic,Fleet
F(1-3)-R(1-3)-C(6),Formative,Relational,Catalytic,Quiet Soft Igniting,Spontaneous
F(1-3)-R(4-5)-C(1),Formative,Relational,Catalytic,Quiet Warm Quick,Brisk
F(1-3)-R(4-5)-C(4),Formative,Relational,Catalytic,Quiet Warm Kinetic,Lively
F(1-3)-R(4-5)-C(6),Formative,Relational,Catalytic,Quiet Warm Igniting,Spirited
F(1-3)-R(6-9)-C(1),Formative,Relational,Catalytic,Quiet Intimate Quick,Prompt
F(1-3)-R(6-9)-C(4),Formative,Relational,Catalytic,Quiet Intimate Kinetic,Agile
F(1-3)-R(6-9)-C(6),Formative,Relational,Catalytic,Quiet Intimate Igniting,Impassioned
F(4-5)-R(1-3)-C(1),Formative,Relational,Catalytic,Grounded Soft Quick,Direct
F(4-5)-R(1-3)-C(4),Formative,Relational,Catalytic,Grounded Soft Kinetic,Dynamic
F(4-5)-R(1-3)-C(6),Formative,Relational,Catalytic,Grounded Soft Igniting,Arousing
F(4-5)-R(4-5)-C(1),Formative,Relational,Catalytic,Grounded Warm Quick,Active
F(4-5)-R(4-5)-C(4),Formative,Relational,Catalytic,Grounded Warm Kinetic,Energetic
F(4-5)-R(4-5)-C(6),Formative,Relational,Catalytic,Grounded Warm Igniting,Exuberant
F(4-5)-R(6-9)-C(1),Formative,Relational,Catalytic,Grounded Intimate Quick,Expressive
F(4-5)-R(6-9)-C(4),Formative,Relational,Catalytic,Grounded Intimate Kinetic,Engaging
F(4-5)-R(6-9)-C(6),Formative,Relational,Catalytic,Grounded Intimate Igniting,Fervent
F(6-9)-R(1-3)-C(1),Formative,Relational,Catalytic,Beacon Soft Quick,Brilliant
F(6-9)-R(1-3)-C(4),Formative,Relational,Catalytic,Beacon Soft Kinetic,Scintillating
F(6-9)-R(1-3)-C(6),Formative,Relational,Catalytic,Beacon Soft Igniting,Dazzling
F(6-9)-R(4-5)-C(1),Formative,Relational,Catalytic,Beacon Warm Quick,Invigorating
F(6-9)-R(4-5)-C(4),Formative,Relational,Catalytic,Beacon Warm Kinetic,Galvanizing
F(6-9)-R(4-5)-C(6),Formative,Relational,Catalytic,Beacon Warm Igniting,Incandescent
F(6-9)-R(6-9)-C(1),Formative,Relational,Catalytic,Beacon Intimate Quick,Electric
F(6-9)-R(6-9)-C(4),Formative,Relational,Catalytic,Beacon Intimate Kinetic,Kinetic
F(6-9)-R(6-9)-C(6),Formative,Relational,Catalytic,Beacon Intimate Igniting,Electrifying
F(1-3)-S(1-3)-L(1),Formative,Structural,Long-Arc,Quiet Clear Patient,Lucid
F(1-3)-S(1-3)-L(4),Formative,Structural,Long-Arc,Quiet Clear Seasoned,Judicious
F(1-3)-S(1-3)-L(6),Formative,Structural,Long-Arc,Quiet Clear Enduring,Immutable
F(1-3)-S(4-5)-L(1),Formative,Structural,Long-Arc,Quiet Ordered Patient,Systematic
F(1-3)-S(4-5)-L(4),Formative,Structural,Long-Arc,Quiet Ordered Seasoned,Methodical
F(1-3)-S(4-5)-L(6),Formative,Structural,Long-Arc,Quiet Ordered Enduring,Disciplined
F(1-3)-S(6-9)-L(1),Formative,Structural,Long-Arc,Quiet Architected Patient,Strategic
F(1-3)-S(6-9)-L(4),Formative,Structural,Long-Arc,Quiet Architected Seasoned,Pragmatic
F(1-3)-S(6-9)-L(6),Formative,Structural,Long-Arc,Quiet Architected Enduring,Architectural
F(4-5)-S(1-3)-L(1),Formative,Structural,Long-Arc,Grounded Clear Patient,Articulate
F(4-5)-S(1-3)-L(4),Formative,Structural,Long-Arc,Grounded Clear Seasoned,Discerning
F(4-5)-S(1-3)-L(6),Formative,Structural,Long-Arc,Grounded Clear Enduring,Unequivocal
F(4-5)-S(4-5)-L(1),Formative,Structural,Long-Arc,Grounded Ordered Patient,Coherent
F(4-5)-S(4-5)-L(4),Formative,Structural,Long-Arc,Grounded Ordered Seasoned,Structured
F(4-5)-S(4-5)-L(6),Formative,Structural,Long-Arc,Grounded Ordered Enduring,Unshakable
F(4-5)-S(6-9)-L(1),Formative,Structural,Long-Arc,Grounded Architected Patient,Calculated
F(4-5)-S(6-9)-L(4),Formative,Structural,Long-Arc,Grounded Architected Seasoned,Analytical
F(4-5)-S(6-9)-L(6),Formative,Structural,Long-Arc,Grounded Architected Enduring,Monumental
F(6-9)-S(1-3)-L(1),Formative,Structural,Long-Arc,Beacon Clear Patient,Illuminating
F(6-9)-S(1-3)-L(4),Formative,Structural,Long-Arc,Beacon Clear Seasoned,Penetrating
F(6-9)-S(1-3)-L(6),Formative,Structural,Long-Arc,Beacon Clear Enduring,Definitive
F(6-9)-S(4-5)-L(1),Formative,Structural,Long-Arc,Beacon Ordered Patient,Authoritative
F(6-9)-S(4-5)-L(4),Formative,Structural,Long-Arc,Beacon Ordered Seasoned,Commanding
F(6-9)-S(4-5)-L(6),Formative,Structural,Long-Arc,Beacon Ordered Enduring,Regal
F(6-9)-S(6-9)-L(1),Formative,Structural,Long-Arc,Beacon Architected Patient,Visionary
F(6-9)-S(6-9)-L(4),Formative,Structural,Long-Arc,Beacon Architected Seasoned,Sovereign
F(6-9)-S(6-9)-L(6),Formative,Structural,Long-Arc,Beacon Architected Enduring,Imperious
F(1-3)-S(1-3)-C(1),Formative,Structural,Catalytic,Quiet Clear Quick,Crisp
F(1-3)-S(1-3)-C(4),Formative,Structural,Catalytic,Quiet Clear Kinetic,Incisive
F(1-3)-S(1-3)-C(6),Formative,Structural,Catalytic,Quiet Clear Igniting,Sharp
F(1-3)-S(4-5)-C(1),Formative,Structural,Catalytic,Quiet Ordered Quick,Efficient
F(1-3)-S(4-5)-C(4),Formative,Structural,Catalytic,Quiet Ordered Kinetic,Tidy
F(1-3)-S(4-5)-C(6),Formative,Structural,Catalytic,Quiet Ordered Igniting,Prompt
F(1-3)-S(6-9)-C(1),Formative,Structural,Catalytic,Quiet Architected Quick,Tactical
F(1-3)-S(6-9)-C(4),Formative,Structural,Catalytic,Quiet Architected Kinetic,Focused
F(1-3)-S(6-9)-C(6),Formative,Structural,Catalytic,Quiet Architected Igniting,Pioneering
F(4-5)-S(1-3)-C(1),Formative,Structural,Catalytic,Grounded Clear Quick,Pithy
F(4-5)-S(1-3)-C(4),Formative,Structural,Catalytic,Grounded Clear Kinetic,Trenchant
F(4-5)-S(1-3)-C(6),Formative,Structural,Catalytic,Grounded Clear Igniting,Acuteness
F(4-5)-S(4-5)-C(1),Formative,Structural,Catalytic,Grounded Ordered Quick,Businesslike
F(4-5)-S(4-5)-C(4),Formative,Structural,Catalytic,Grounded Ordered Kinetic,Systemic
F(4-5)-S(4-5)-C(6),Formative,Structural,Catalytic,Grounded Ordered Igniting,Dynamic
F(4-5)-S(6-9)-C(1),Formative,Structural,Catalytic,Grounded Architected Quick,Deliberate
F(4-5)-S(6-9)-C(4),Formative,Structural,Catalytic,Grounded Architected Kinetic,Methodical
F(4-5)-S(6-9)-C(6),Formative,Structural,Catalytic,Grounded Architected Igniting,Catalytic
F(6-9)-S(1-3)-C(1),Formative,Structural,Catalytic,Beacon Clear Quick,Luminous
F(6-9)-S(1-3)-C(4),Formative,Structural,Catalytic,Beacon Clear Kinetic,Vivid
F(6-9)-S(1-3)-C(6),Formative,Structural,Catalytic,Beacon Clear Igniting,Piercing
F(6-9)-S(4-5)-C(1),Formative,Structural,Catalytic,Beacon Ordered Quick,Decisive
F(6-9)-S(4-5)-C(4),Formative,Structural,Catalytic,Beacon Ordered Kinetic,Compelling
F(6-9)-S(4-5)-C(6),Formative,Structural,Catalytic,Beacon Ordered Igniting,Formidable
F(6-9)-S(6-9)-C(1),Formative,Structural,Catalytic,Beacon Architected Quick,Provocative
F(6-9)-S(6-9)-C(4),Formative,Structural,Catalytic,Beacon Architected Kinetic,Disruptive
F(6-9)-S(6-9)-C(6),Formative,Structural,Catalytic,Beacon Architected Igniting,Revolutionary
I(1-3)-R(1-3)-L(1),Implicit,Relational,Long-Arc,Subtle Soft Patient,Gentle
I(1-3)-R(1-3)-L(4),Implicit,Relational,Long-Arc,Subtle Soft Seasoned,Quiet
I(1-3)-R(1-3)-L(6),Implicit,Relational,Long-Arc,Subtle Soft Enduring,Serene
I(1-3)-R(4-5)-L(1),Implicit,Relational,Long-Arc,Subtle Warm Patient,Welcoming
I(1-3)-R(4-5)-L(4),Implicit,Relational,Long-Arc,Subtle Warm Seasoned,Gracious
